state,District,MPCE_URP,MPCE_MRP,state_1
23,49,2175.6,1998.63,MP
23,49,2820.33,2619.33,MP
23,49,962.88,1048.94,MP
23,49,1684.14,1724.5,MP
23,49,1704.5,2068.37,MP
23,49,892.0,1053.73,MP
23,49,778.4,915.33,MP
23,49,2466.0,2012.23,MP
23,40,4016.33,4234.83,MP
23,40,4908.0,3375.4,MP
23,40,2321.2,1778.19,MP
23,40,1443.75,1642.05,MP
23,40,2090.0,2753.72,MP
23,40,2367.0,2068.3,MP
23,40,1445.33,1381.61,MP
23,40,961.8,1270.59,MP
23,41,3175.83,2506.29,MP
23,41,891.83,785.37,MP
23,41,952.0,1016.04,MP
23,41,2240.33,2047.18,MP
23,41,1710.75,1586.65,MP
23,41,1065.75,1062.78,MP
23,41,1126.0,885.25,MP
23,41,739.25,569.65,MP
23,47,1539.75,1660.61,MP
23,47,1282.0,1458.01,MP
23,47,1054.86,1031.98,MP
23,47,953.0,985.47,MP
23,47,1214.5,1214.47,MP
23,47,672.6,690.08,MP
23,47,638.67,688.96,MP
23,47,619.4,667.44,MP
23,39,4845.0,10344.86,MP
23,39,3043.0,3113.3,MP
23,39,2150.5,2094.23,MP
23,39,1093.4,1104.34,MP
23,39,3702.0,1444.71,MP
23,39,1932.75,1621.14,MP
23,39,680.75,624.0,MP
23,39,964.0,871.01,MP
23,44,1033.25,1115.85,MP
23,44,1688.67,1531.43,MP
23,44,1364.0,1039.18,MP
23,44,1266.0,1393.81,MP
23,44,662.83,636.29,MP
23,44,1077.0,1050.85,MP
23,44,959.82,908.93,MP
23,44,598.0,698.41,MP
23,42,3212.0,2609.33,MP
23,42,3445.0,3148.97,MP
23,42,960.0,1020.14,MP
23,42,2046.25,1806.71,MP
23,42,930.75,832.03,MP
23,42,908.0,877.66,MP
23,42,672.75,528.69,MP
23,42,763.0,682.71,MP
23,39,2207.5,2290.32,MP
23,39,3175.0,5120.48,MP
23,39,1551.83,1505.6,MP
23,39,1416.75,1535.48,MP
23,39,1975.0,1919.51,MP
23,39,797.71,786.99,MP
23,39,690.4,677.73,MP
23,39,391.0,402.5,MP
23,10,2655.0,2548.7,MP
23,10,2544.75,2296.98,MP
23,10,1740.67,1674.55,MP
23,10,2257.2,2222.1,MP
23,10,1626.67,1626.83,MP
23,10,2061.0,2083.77,MP
23,10,475.5,495.65,MP
23,10,656.86,664.98,MP
23,38,3454.33,3284.47,MP
23,38,2077.25,2050.33,MP
23,38,1696.0,1922.04,MP
23,38,2237.67,2254.38,MP
23,38,2088.33,1787.28,MP
23,38,2210.0,2389.25,MP
23,38,686.33,658.94,MP
23,38,2046.0,1934.05,MP
23,17,2635.0,2394.49,MP
23,17,3759.5,3760.49,MP
23,17,1979.33,1978.74,MP
23,17,1028.83,923.58,MP
23,17,776.5,819.45,MP
23,17,1005.0,991.85,MP
23,17,729.8,776.51,MP
23,17,507.38,529.1,MP
23,13,1088.0,1025.33,MP
23,13,987.0,1069.19,MP
23,13,768.0,828.96,MP
23,13,871.6,952.37,MP
23,13,1394.5,1463.4,MP
23,13,1133.5,1137.75,MP
23,13,496.2,552.83,MP
23,13,433.57,491.12,MP
23,13,869.0,1030.03,MP
23,13,908.33,968.29,MP
23,13,1106.67,1195.84,MP
23,13,906.5,943.42,MP
23,13,1872.0,2014.47,MP
23,13,1076.0,1120.38,MP
23,13,708.2,767.3,MP
23,13,940.92,1005.79,MP
23,16,2150.4,1978.8,MP
23,16,2181.25,2285.67,MP
23,16,927.88,826.54,MP
23,16,1587.6,1623.67,MP
23,16,2193.33,2312.65,MP
23,16,904.38,1043.78,MP
23,16,675.8,669.88,MP
23,16,728.2,740.09,MP
23,12,1424.33,2214.49,MP
23,12,1698.5,1970.9,MP
23,12,4425.0,5032.19,MP
23,12,2758.67,2788.48,MP
23,12,1463.5,1537.71,MP
23,12,916.0,1082.71,MP
23,12,621.69,649.81,MP
23,12,990.6,1068.83,MP
23,15,3681.0,3433.88,MP
23,15,2897.0,3029.19,MP
23,15,1103.5,1214.42,MP
23,15,901.4,881.67,MP
23,15,1376.25,1240.79,MP
23,15,1194.25,1259.39,MP
23,15,637.67,690.84,MP
23,15,975.5,1089.27,MP
23,14,6009.33,5627.6,MP
23,14,18164.5,17623.47,MP
23,14,813.0,818.41,MP
23,14,497.0,551.93,MP
23,14,820.0,807.4,MP
23,14,477.0,524.4,MP
23,14,701.33,791.97,MP
23,14,704.8,679.87,MP
23,11,2299.0,2994.15,MP
23,11,2382.25,2293.26,MP
23,11,1583.83,1910.09,MP
23,11,2077.33,2151.99,MP
23,11,1525.33,1754.4,MP
23,11,1275.33,1452.13,MP
23,11,1314.31,1564.68,MP
23,11,865.4,989.66,MP
23,38,1247.5,1302.82,MP
23,38,7420.5,7724.37,MP
23,38,5631.0,4280.59,MP
23,38,1693.67,1749.56,MP
23,38,664.33,682.87,MP
23,38,1921.23,2038.63,MP
23,38,589.88,581.6,MP
23,38,648.25,707.54,MP
23,11,1809.0,1552.47,MP
23,11,2506.5,2147.53,MP
23,11,897.0,1326.63,MP
23,11,825.56,707.86,MP
23,11,945.8,958.05,MP
23,11,1140.5,982.45,MP
23,11,1354.57,1493.19,MP
23,11,1247.56,1242.62,MP
23,42,5425.5,4825.26,MP
23,42,2535.33,3589.58,MP
23,42,1886.0,1876.11,MP
23,42,2296.25,1979.16,MP
23,42,628.25,625.32,MP
23,42,1537.25,1656.94,MP
23,42,591.33,658.51,MP
23,42,643.2,601.64,MP
23,44,1241.6,1293.87,MP
23,44,1249.5,805.3,MP
23,44,870.8,968.54,MP
23,44,1474.0,1491.45,MP
23,44,1124.78,1395.25,MP
23,44,1445.4,1599.32,MP
23,44,963.6,916.22,MP
23,44,691.29,683.21,MP
23,41,2936.67,1973.11,MP
23,41,1437.0,1587.84,MP
23,41,987.14,931.99,MP
23,41,1931.5,1797.01,MP
23,41,1027.25,1037.17,MP
23,41,1243.0,1209.62,MP
23,41,345.8,374.98,MP
23,41,549.67,547.24,MP
23,49,3971.33,1788.5,MP
23,49,2064.0,2493.25,MP
23,49,1447.0,1696.86,MP
23,49,1661.4,1199.84,MP
23,49,1469.0,1890.85,MP
23,49,1521.75,1773.46,MP
23,49,921.4,1137.82,MP
23,49,891.5,844.8,MP
23,47,2457.67,2569.15,MP
23,47,4366.0,4301.34,MP
23,47,1935.0,1980.89,MP
23,47,901.0,1009.51,MP
23,47,1075.25,1153.57,MP
23,47,1124.75,1120.33,MP
23,47,752.0,700.63,MP
23,47,865.5,808.68,MP
23,40,2157.5,2365.24,MP
23,40,4507.25,5194.89,MP
23,40,1392.5,1767.93,MP
23,40,3209.0,3534.88,MP
23,40,1593.0,2589.1,MP
23,40,1679.75,1878.02,MP
23,40,966.0,1103.26,MP
23,40,1268.67,1374.37,MP
23,39,1361.0,1486.77,MP
23,39,931.6,822.15,MP
23,39,879.0,985.23,MP
23,39,791.8,924.29,MP
23,39,810.5,852.93,MP
23,39,744.17,813.29,MP
23,39,687.0,751.73,MP
23,39,462.4,394.35,MP
23,16,4538.5,4257.58,MP
23,16,3780.75,3205.37,MP
23,16,3369.0,2705.64,MP
23,16,2121.25,1944.76,MP
23,16,1607.5,1566.4,MP
23,16,2192.8,1823.69,MP
23,16,1319.0,1188.45,MP
23,16,787.6,893.27,MP
23,12,3125.0,2347.12,MP
23,12,4086.5,3316.74,MP
23,12,1744.67,1568.64,MP
23,12,1938.0,2493.65,MP
23,12,1653.67,1704.35,MP
23,12,2692.0,2394.6,MP
23,12,1121.63,861.44,MP
23,12,724.56,688.92,MP
23,13,3073.5,2159.25,MP
23,13,2933.0,2509.85,MP
23,13,964.5,1013.64,MP
23,13,787.5,728.87,MP
23,13,1839.5,1551.42,MP
23,13,734.0,671.33,MP
23,13,491.33,542.57,MP
23,13,559.75,425.38,MP
23,15,2465.67,1526.09,MP
23,15,4142.5,4174.62,MP
23,15,2080.6,1642.93,MP
23,15,1190.17,1173.42,MP
23,15,892.5,854.12,MP
23,15,1970.6,1818.05,MP
23,15,600.5,480.64,MP
23,15,759.0,632.92,MP
23,11,1035.5,1133.31,MP
23,11,728.38,779.71,MP
23,11,1796.2,2012.8,MP
23,11,563.0,571.87,MP
23,11,1709.5,1831.85,MP
23,11,783.29,852.09,MP
23,11,1608.0,1703.34,MP
23,11,865.5,1073.31,MP
23,14,2500.83,2429.24,MP
23,14,2152.83,2154.5,MP
23,14,1041.75,963.63,MP
23,14,786.09,781.15,MP
23,14,906.67,915.3,MP
23,14,1006.6,1084.38,MP
23,14,470.0,506.89,MP
23,14,505.75,579.35,MP
23,13,2676.0,1820.85,MP
23,13,2061.5,2312.97,MP
23,13,836.0,923.07,MP
23,13,1068.56,1035.65,MP
23,13,884.33,933.37,MP
23,13,801.5,746.5,MP
23,13,705.6,646.18,MP
23,13,528.67,564.35,MP
23,11,1544.5,1517.21,MP
23,11,1084.0,1060.52,MP
23,11,1202.6,1103.52,MP
23,11,841.86,793.52,MP
23,11,1866.67,1595.0,MP
23,11,824.8,791.84,MP
23,11,1694.4,1329.81,MP
23,11,1179.86,1070.13,MP
23,17,1973.4,1477.92,MP
23,17,1513.33,1311.26,MP
23,17,1212.2,1017.21,MP
23,17,567.67,682.72,MP
23,17,1292.75,1126.07,MP
23,17,1215.33,986.24,MP
23,17,342.33,365.76,MP
23,17,361.0,389.29,MP
23,10,4896.4,4402.36,MP
23,10,2023.25,1860.58,MP
23,10,956.33,884.3,MP
23,10,815.0,822.89,MP
23,10,1260.4,1110.43,MP
23,10,2042.2,1758.56,MP
23,10,580.43,563.41,MP
23,10,1042.5,1039.19,MP
23,38,937.33,982.56,MP
23,38,2594.0,2230.07,MP
23,38,803.67,812.53,MP
23,38,1554.5,1514.63,MP
23,38,1874.5,1709.91,MP
23,38,1632.75,1661.16,MP
23,38,849.38,855.37,MP
23,38,1019.0,1119.46,MP
23,13,2375.0,1981.95,MP
23,13,2702.75,2911.11,MP
23,13,2351.4,2532.22,MP
23,13,894.6,904.74,MP
23,13,724.17,773.72,MP
23,13,1191.5,1291.19,MP
23,13,903.67,922.42,MP
23,13,467.75,511.04,MP
23,14,2670.0,2860.82,MP
23,14,1840.6,1552.38,MP
23,14,1528.0,1516.77,MP
23,14,892.17,877.88,MP
23,14,992.71,1008.88,MP
23,14,805.4,833.48,MP
23,14,602.57,644.64,MP
23,14,733.5,781.07,MP
23,17,5849.0,4879.01,MP
23,17,4873.0,4590.74,MP
23,17,1654.75,1519.39,MP
23,17,1361.67,1186.73,MP
23,17,1511.6,1443.4,MP
23,17,1259.0,1208.58,MP
23,17,803.8,781.12,MP
23,17,606.0,572.14,MP
23,13,2443.75,2575.15,MP
23,13,2321.6,1861.05,MP
23,13,1007.09,1021.99,MP
23,13,851.5,964.26,MP
23,13,944.0,1016.97,MP
23,13,989.2,1285.46,MP
23,13,657.0,582.53,MP
23,13,733.43,788.63,MP
23,16,1861.75,2086.58,MP
23,16,2561.25,2597.35,MP
23,16,558.14,587.61,MP
23,16,735.67,766.33,MP
23,16,1591.64,912.23,MP
23,16,1161.25,1172.45,MP
23,16,854.75,905.16,MP
23,16,498.5,543.6,MP
23,15,2402.33,2329.55,MP
23,15,3554.0,3927.22,MP
23,15,1194.0,1126.42,MP
23,15,1297.0,1222.4,MP
23,15,1349.8,1233.27,MP
23,15,869.57,848.59,MP
23,15,581.22,577.2,MP
23,15,664.25,731.96,MP
23,12,1096.13,1443.56,MP
23,12,781.83,897.27,MP
23,12,1270.83,1454.06,MP
23,12,1487.0,1527.22,MP
23,12,716.86,784.76,MP
23,12,1051.4,1276.33,MP
23,12,996.29,1202.25,MP
23,12,1021.6,1162.07,MP
23,39,11810.75,2476.48,MP
23,39,4511.5,3508.43,MP
23,39,6363.0,6557.79,MP
23,39,3363.67,3831.7,MP
23,39,1019.6,1112.48,MP
23,39,1173.5,1785.74,MP
23,39,1446.63,1671.63,MP
23,39,1474.33,1888.8,MP
23,11,1910.67,3254.5,MP
23,11,4371.25,5068.48,MP
23,11,1332.67,1490.31,MP
23,11,1166.67,1285.62,MP
23,11,4302.0,4662.41,MP
23,11,2079.4,2680.22,MP
23,11,633.67,681.38,MP
23,11,964.67,1082.92,MP
23,10,2629.67,2625.56,MP
23,10,2380.33,2293.8,MP
23,10,771.83,766.43,MP
23,10,1203.0,1195.2,MP
23,10,908.83,879.45,MP
23,10,1084.83,1151.2,MP
23,10,964.0,936.24,MP
23,10,613.43,615.88,MP
23,41,2242.0,1535.08,MP
23,41,3960.5,3218.38,MP
23,41,1147.86,1082.55,MP
23,41,939.0,813.77,MP
23,41,1254.0,1298.25,MP
23,41,842.5,764.98,MP
23,41,637.67,616.8,MP
23,41,675.38,666.35,MP
23,42,2268.5,1944.34,MP
23,42,1130.33,1085.49,MP
23,42,1520.83,1424.66,MP
23,42,2294.4,2106.96,MP
23,42,766.33,757.0,MP
23,42,1360.67,1246.12,MP
23,42,1443.0,1472.66,MP
23,42,695.33,631.91,MP
23,49,2706.75,3233.33,MP
23,49,7870.0,7638.36,MP
23,49,2873.75,1910.21,MP
23,49,2276.17,1911.01,MP
23,49,1585.17,1563.29,MP
23,49,2584.43,1875.6,MP
23,49,772.9,706.58,MP
23,49,1239.5,1283.13,MP
23,40,1435.5,1444.2,MP
23,40,980.0,1061.78,MP
23,40,764.0,843.09,MP
23,40,733.2,803.04,MP
23,40,854.0,901.8,MP
23,40,1844.0,1972.09,MP
23,40,884.75,911.09,MP
23,40,1164.0,1043.2,MP
23,47,2160.67,1890.86,MP
23,47,2621.0,3002.51,MP
23,47,849.5,781.97,MP
23,47,1401.0,1462.14,MP
23,47,974.0,1144.96,MP
23,47,1273.5,1298.76,MP
23,47,480.0,460.33,MP
23,47,759.67,750.17,MP
23,44,6021.0,5972.71,MP
23,44,819.0,862.53,MP
23,44,2263.5,2367.27,MP
23,44,1122.0,1190.08,MP
23,44,669.25,732.14,MP
